Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Grande Sausage Breakfast Burrito without Salsa,358.0,70.0,67,35,4,4,2010,390,1040,20.0,0.5,$3.39
Grande Sausage Breakfast Burrito with Salsa,381.0,70.0,68,36,5,5,2130,390,1040,20.0,0.5,$3.39
Grilled Breakfast Sandwich,253.0,29.0,53,36,4,4,1810,490,620,10.0,0.0,$3.69
Jumbo Breakfast Platter with Bacon,247.0,29.0,47,23,7,3,1390,345,540,6.0,0.0,$4.49
Jumbo Breakfast Platter with Sausage,267.0,39.0,47,21,7,3,1250,360,620,9.0,0.0,$4.49
Loaded Breakfast Sandwich,242.0,47.0,36,36,4,2,1690,515,710,16.0,0.0,$3.69
Meat Lovers Breakfast Burrito without Salsa,292.0,50.0,48,39,3,2,1590,410,780,21.0,0.5,$3.39
Meat Lovers Breakfast Burrito with Salsa,316.0,50.0,50,39,4,3,1710,410,790,21.0,0.5,$3.39
Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,$1.00
"Sausage, Egg & Cheese Biscuit",158.0,38.0,27,18,3,2,1240,265,530,16.0,0.0,$2.99
Sausage Biscuit,107.0,29.0,26,11,3,2,960,30,430,12.0,0.0,$2.99
Sausage Breakfast Jack,152.0,34.0,30,19,4,1,920,265,500,11.0,0.5,$1.59
Sausage Croissant,159.0,39.0,32,19,3,2,760,275,560,16.0,0.5,$3.29
Sourdough Breakfast Melt,152.0,21.0,35,20,4,2,1010,250,410,8.0,0.0,$4.69
Spicy Chicken Biscuit,170.0,29.0,44,25,3,2,1110,50,550,9.0,0.0,$4.59
Supreme Croissant,148.0,27.0,32,19,4,2,890,260,450,12.0,0.5,$3.29
Ultimate Breakfast Sandwich,214.0,31.0,30,3,4,1,1540,490,520,11.0,0.0,$3.49
Chick-N-Tater Melt Munchie Meal,1213.0,109.0,220,44,76,13,3470,120,2010,28.0,1.5,$5.49
Halfsies (a al carte),122.0,21.0,46,5,0,4,810,0,390,2.0,0.0,$2.49
Halfsies (in Munchie Meal),140.0,24.0,53,5,0,4,930,0,450,2.0,0.0,$4.99
Spicy Nacho Chicken Munchie Meal,1199.0,80.0,224,48,78,13,3260,80,1790,14.0,1.0,$4.59
Sriracha Curly Fry Burger Munchie Meal,1121.0,87.0,196,44,75,11,2700,105,1720,20.0,2.5,$1.99
Stacked Grilled Cheese Burger Munchie Meal,1241.0,94.0,213,56,79,13,3660,130,1890,27.0,2.5,$4.69
"Milk, Low Fat",214.0,2.0,12,9,12,0,130,10,110,1.5,0.0,$1.29
Chocolate Overload Cake,93.0,7.0,57,4,34,2,350,40,300,1.5,0.0,$1.79
Mini Churros (5 pc.),86.0,18.0,42,4,12,2,280,5,350,3.5,0.0,$1.00
Mini Churros (10 pc.),172.0,37.0,84,7,25,4,550,10,690,7.0,0.0,$1.99
New York Style Cheesecake,92.0,17.0,32,7,22,1,260,25,310,9.0,0.0,$1.59
Kids Breakfast Jack,132.0,18.0,30,16,4,1,840,240,350,6.0,0.0,$1.59
Kids Cheeseburger,123.0,21.0,32,16,5,1,780,35,380,8.0,1.0,$2.49
Kids Chicken Nuggets,77.0,17.0,13,9,0,1,600,25,240,2.0,0.0,$1.59
Kids Chicken Sandwich,156.0,31.0,42,15,4,2,940,35,510,5.0,0.0,$1.29
Kids Crispy Chicken Strips,98.0,12.0,26,17,0,1,790,30,280,1.5,0.0,$4.69
Kids Grilled Cheese Sandwich,94.0,16.0,34,11,3,2,800,20,330,6.0,0.0,$3.69
Kids Hamburger,111.0,18.0,32,14,5,1,570,25,340,5.0,1.0,$3.29
Kids Mini Pancakes,71.0,1.5,28,4,6,1,350,0,140,0.0,0.0,$1.00
Jack's Deals Chicken Nuggets (5 pc.),77.0,17.0,13,9,0,1,600,25,240,2.0,0.0,$1.59
Jack's Deals Chicken Nuggets (10 pc.),153.0,33.0,26,19,0,2,1210,50,480,4.5,0.0,$3.09
Jack's Deals Chicken Nuggets (20 pc.),306.0,66.0,51,38,1,4,2420,105,950,9.0,0.0,$5.09
Jack's Deals Chicken Sandwich,158.0,37.0,30,25,5,1,700,70,540,12.0,1.5,$1.29
Jack's Deals Chicken Sandwich with Bacon,158.0,37.0,30,25,5,1,700,70,540,12.0,1.5,$1.29
Jack's Deals Grilled Cheese Sandwich,94.0,16.0,34,11,3,2,800,20,330,6.0,0.0,$4.49
Jack's Deals Jr. Bacon Cheeseburger,129.0,31.0,32,19,5,1,860,45,480,10.0,1.0,$1.49
Jack's Deals Jr. Jumbo Jack,150.0,26.0,33,14,6,2,560,30,420,7.0,1.0,$2.59
Jack's Deals Jr. Jumbo Jack Cheeseburger,161.0,29.0,33,16,6,2,760,40,460,9.0,1.0,$3.19
Jack's Deals Jumbo Jack,223.0,33.0,32,23,6,2,580,60,520,10.0,1.5,$2.59
Jack's Deals Jumbo Jack Cheeseburger,245.0,40.0,33,28,6,2,990,80,600,14.0,1.5,$3.19
"Jack's Deals Tacos, Regular",162.0,19.0,33,12,2,5,720,25,340,6.0,0.5,$1.49
