Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"6"" Chicken Salad",170,10.0,51,19,12,6,660,45,370,2.0,0.0,$7.50
"6"" Chicken Strips",233,4.0,44,25,7,5,490,50,310,1.0,0.0,$7.50
"6"" Corned Beef Reuben",328,15.0,52,39,13,7,1720,85,490,5.0,0.5,$6.00
"6"" Crunchy Chicken Enchilada",303,26.0,60,26,10,7,1120,20,580,7.0,0.5,$4.75
"6"" Cubano",307,14.0,48,32,9,5,1430,70,460,4.5,0.0,$6.00
"6"" Egg Salad",247,26.0,45,17,7,5,450,255,480,5.0,0.0,$0.75
"6"" Falafel",276,24.0,73,18,8,13,1050,10,580,4.0,0.5,$6.00
"6"" Italian Hero",266,29.0,47,26,9,5,1470,75,550,9.0,0.5,$6.00
"6"" Italian Hero Supreme",302,27.0,54,29,14,5,1660,90,570,11.0,0.5,$6.00
"6"" Malibu Garden Vegan Patty",247,10.0,64,13,8,9,780,0,380,2.0,0.0,$6.00
"6"" Mediterranean Chicken",283,20.0,46,30,7,5,930,70,490,6.0,0.0,$6.00
"6"" Mediterranean Steak",283,22.0,49,29,9,5,1270,60,520,7.0,0.5,$6.00
"6"" Orchard Chicken Salad",247,8.0,54,20,15,6,530,40,370,1.5,0.0,$6.00
"6"" Pastrami",230,17.0,46,20,8,5,980,50,420,7.0,0.0,$6.00
"6"" Pastrami Melt, Big Hot",287,28.0,47,29,8,5,1470,85,580,11.0,0.0,$1.80
"6"" Pepperoni",198,17.0,45,16,8,5,1080,30,390,6.0,0.5,$1.50
"6"" Pizza Sub Melt",195,24.0,49,20,9,5,1640,55,490,10.0,0.5,$6.00
"6"" Sea Salt & Pepper Fish",286,19.0,74,21,8,7,1130,40,600,4.5,0.0,$4.75
"6"" Subway Melt",246,13.0,48,26,9,5,1410,40,410,5.0,0.5,$6.00
"6"" Subway Seafood SensationTM",233,19.0,51,13,8,5,780,15,420,3.0,0.0,$6.00
"6"" Turkey & Bacon",234,9.0,47,23,8,5,1190,30,360,3.0,0.0,$7.50
"6"" Turkey & Bacon Avocado",270,14.0,50,24,8,7,1190,30,420,3.5,0.0,$7.50
"6"" Turkey & Bacon Guacamole",270,15.0,50,24,8,7,1280,30,440,4.0,0.0,$7.50
"6"" Turkey Breast & Black Forest Ham",219,4.0,46,18,8,5,780,20,280,1.0,0.0,$6.00
"6"" Turkey Italiano Melt",252,23.0,48,22,9,5,1560,50,480,8.0,0.5,$6.00
"6"" Veggie Patty",247,10.0,52,21,9,8,800,0,390,3.0,0.0,$6.00
Footlong Applewood Pulled Pork,552,18.0,124,46,48,10,1960,90,840,4.0,0.0,$1.50
Footlong B.L.T.,330,26.0,88,40,14,10,2260,40,760,9.0,0.0,$6.00
Footlong BBQ Rib Melt,510,58.0,98,48,20,10,1680,120,1100,22.0,0.0,$5.50
Footlong Big Cheesy,252,34.0,86,36,10,8,1960,90,780,20.0,1.0,$5.50
Footlong Buffalo Chicken Rotisserie-Style,566,34.0,94,58,16,12,2540,120,920,6.0,0.0,$7.75
Footlong Buffalo Chicken with Chicken Strips,538,32.0,92,50,16,12,2200,110,840,6.0,0.0,$4.75
Footlong Caesar Chicken Melt with Chicken Strips,536,44.0,92,58,14,10,1600,150,980,12.0,1.0,$8.75
Footlong Chicken Caesar Melt Rotisserie Style,566,48.0,92,68,16,10,2020,150,1040,12.0,1.0,$5.25
Footlong Chicken Parmesan,554,32.0,126,48,20,12,2000,70,960,10.0,1.0,$7.50
Footlong Chicken Pizziola Melt,586,30.0,100,64,20,12,2280,160,920,12.0,1.0,$2.50
Footlong Chicken Salad,340,20.0,102,38,24,12,1320,90,740,4.0,0.0,$7.50
Footlong Chicken Strips,466,8.0,88,50,14,10,980,100,620,2.0,0.0,$7.50
Footlong Corned Beef Reuben,656,30.0,104,78,26,14,3440,170,980,10.0,1.0,$6.00
Footlong Crunchy Chicken Enchilada,606,52.0,120,52,20,14,2240,40,1160,14.0,1.0,$4.75
Footlong Cubano,614,28.0,96,64,18,10,2860,140,920,9.0,0.0,$5.50
Footlong Egg Salad,494,52.0,90,34,14,10,900,510,960,10.0,0.0,$5.50
Footlong Falafel,552,48.0,146,36,16,26,2100,20,1160,8.0,1.0,$5.50
Footlong Italian Hero,532,58.0,94,52,18,10,2940,150,1100,18.0,1.0,$6.00
Footlong Italian Hero Supreme,604,54.0,108,58,28,10,3320,180,1140,22.0,1.0,$6.00
Footlong Malibu Garden Vegan Patty,494,20.0,128,26,16,18,1560,0,760,4.0,0.0,$6.00
Footlong Mediterranean Chicken,566,40.0,92,60,14,10,1860,140,980,12.0,0.0,$6.00
Footlong Mediterranean Steak,566,44.0,98,58,18,10,2540,120,1040,14.0,1.0,$6.00
Footlong Orchard Chicken Salad,494,16.0,108,40,30,12,1060,80,740,3.0,0.0,$7.50
Footlong Pastrami,460,34.0,92,40,16,10,1960,100,840,14.0,0.0,$5.50
"Footlong Pastrami Melt, Big Hot",574,56.0,94,58,16,10,2940,170,1160,22.0,0.0,$5.50
Footlong Pepperoni,396,34.0,90,32,16,10,2160,60,780,12.0,1.0,$5.50
Footlong Pizza Sub Melt,390,48.0,98,40,18,10,3280,110,980,20.0,1.0,$6.00
Footlong Sea Salt & Pepper Fish,572,38.0,148,42,16,14,2260,80,1200,9.0,0.0,$1.50
Footlong Subway Melt,492,26.0,96,52,18,10,2820,80,820,10.0,1.0,$6.00
Footlong Subway Seafood SensationTM,466,38.0,102,26,16,10,1560,30,840,6.0,0.0,$6.00
Footlong Turkey & Bacon,468,18.0,94,46,16,10,2380,60,720,6.0,0.0,$7.50
Footlong Turkey & Bacon Avocado,540,28.0,100,48,16,14,2380,60,840,7.0,0.0,$7.50
Footlong Turkey & Bacon Guacamole,540,30.0,100,48,16,14,2560,60,880,8.0,0.0,$7.50
Footlong Turkey Breast & Black Forest Ham,438,8.0,92,36,16,10,1560,40,560,2.0,0.0,$6.00
Footlong Turkey Italiano Melt,504,46.0,96,44,18,10,3120,100,960,16.0,1.0,$4.25
Footlong Veggie Patty,494,20.0,104,42,18,16,1600,0,780,6.0,0.0,$6.00
Black Forest Ham Salad,344,3.0,13,12,8,4,600,25,110,1.0,0.0,$6.00
Oven Roasted Chicken Salad,358,3.5,13,17,7,4,410,45,150,1.0,0.0,$6.00
Roast Beef Salad,358,3.5,12,19,7,4,460,45,140,1.0,0.0,$6.00
Rotisserie-Style Chicken Salad,372,4.5,12,23,6,4,460,55,170,1.0,0.0,$2.50
Subway Club Salad,365,3.0,13,18,7,4,640,40,140,1.0,0.0,$6.00
Sweet Onion Chicken Teriyaki Salad,415,3.0,34,19,23,4,650,50,230,1.0,0.0,$6.00
Turkey Breast Salad,344,2.0,13,12,7,4,560,20,110,0.5,0.0,$6.00
Veggie Delite Salad,287,1.0,11,3,6,4,80,0,60,0.0,0.0,$5.00
Chicken & Bacon Ranch Melt Salad,445,40.0,15,32,9,4,1290,100,540,12.0,1.0,$6.00
Cold Cut Combo Salad,351,10.0,13,12,7,4,830,45,180,4.0,0.0,$6.00
Italian B.M.T. Salad,351,15.0,13,14,8,4,1060,45,230,6.0,0.0,$6.00
Meatball Marinara Salad,426,17.0,27,15,12,6,790,40,310,7.0,1.0,$6.00
Spicy Italian Salad,347,23.0,13,14,8,4,1290,50,310,9.0,0.5,$6.00
Steak & Cheese Salad,370,8.0,16,20,8,4,830,50,210,4.0,0.0,$6.00
Tuna Salad,362,24.0,11,15,6,4,380,40,310,4.0,0.0,$6.00
"6"" Bacon, Egg & Cheese",190,18.0,44,25,6,4,1310,180,450,7.0,0.0,$3.50
"6"" Bacon, Egg & Cheese Flatbread",198,21.0,43,25,3,4,1370,180,460,7.0,0.0,$3.50
"6"" Bacon, Egg White & Cheese",190,13.0,45,26,6,4,1340,20,410,4.0,0.0,$3.50
"6"" Bacon, Egg White & Cheese Flatbread",198,15.0,44,26,3,4,1410,20,430,5.0,0.0,$3.50
"6"" Black Forest Ham, Egg & Cheese",203,14.0,45,24,6,4,1150,185,400,5.0,0.0,$6.00
