Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"MeatZZa Hand Tossed Pizza, Small",106,12.0,26,11,2,1,630,30,260,5.0,0.0,$11.99
"MeatZZa Hand Tossed Pizza, XLarge",204,23.0,48,22,4,3,1250,55,490,10.0,0.5,$9.99
"Memphis BBQ Chicken Hand Tossed Pizza, Large",141,14.0,39,17,6,2,660,40,350,7.0,0.0,$11.99
"Memphis BBQ Chicken Hand Tossed Pizza, Medium",105,10.0,29,12,4,1,490,30,260,5.0,0.0,$13.99
"Memphis BBQ Chicken Hand Tossed Pizza, Small",94,9.0,27,11,3,1,430,25,240,4.0,0.0,$11.99
"Memphis BBQ Chicken Hand Tossed Pizza, XLarge",183,17.0,52,21,7,2,850,55,450,9.0,0.5,$11.99
"Pacific Veggie Hand Tossed Pizza, Large",151,11.0,37,13,3,2,660,30,310,5.0,0.0,$11.99
"Pacific Veggie Hand Tossed Pizza, Medium",110,8.0,27,10,2,2,490,20,230,4.0,0.0,$13.99
"Pacific Veggie Hand Tossed Pizza, Small",98,8.0,25,9,2,1,430,20,210,3.5,0.0,$11.99
"Pacific Veggie Hand Tossed Pizza, XLarge",194,14.0,48,17,4,3,840,35,390,7.0,0.0,$11.99
"Philly Cheese Steak Hand Tossed Pizza, Large",130,13.0,35,14,2,2,730,35,310,6.0,0.0,$11.99
"Philly Cheese Steak Hand Tossed Pizza, Medium",97,10.0,26,10,2,1,570,25,230,5.0,0.0,$13.99
"Philly Cheese Steak Hand Tossed Pizza, Small",90,9.0,25,10,2,1,520,25,220,4.5,0.0,$11.99
"Philly Cheese Steak Hand Tossed Pizza, XLarge",169,16.0,46,17,3,2,930,45,400,8.0,0.5,$11.99
"Spinach & Feta Hand Tossed Pizza, Large",127,14.0,35,14,1,2,610,35,320,7.0,0.0,$11.99
"Spinach & Feta Hand Tossed Pizza, Medium",93,10.0,26,10,1,1,450,25,240,5.0,0.0,$13.99
"Spinach & Feta Hand Tossed Pizza, XLarge",164,17.0,46,18,2,2,770,45,410,9.0,0.5,$11.99
"Ultimate Pepperoni Hand Tossed Pizza, Large",139,17.0,36,16,3,2,890,45,370,8.0,0.0,$11.99
"Ultimate Pepperoni Hand Tossed Pizza, Medium",102,13.0,26,12,2,1,660,30,270,6.0,0.0,$13.99
"Ultimate Pepperoni Hand Tossed Pizza, Small",95,12.0,25,11,2,1,610,30,250,5.0,0.0,$11.99
"Ultimate Pepperoni Hand Tossed Pizza, XLarge",183,22.0,47,21,4,2,1180,55,480,10.0,0.5,$11.99
"Wisconsin 6 Cheese Hand Tossed Pizza, Large",135,14.0,36,16,3,2,690,35,340,7.0,0.0,$11.99
"Wisconsin 6 Cheese Hand Tossed Pizza, Medium",100,11.0,27,12,2,1,520,30,250,5.0,0.0,$13.99
"Wisconsin 6 Cheese Hand Tossed Pizza, Small",90,9.0,25,10,2,1,450,20,220,4.5,0.0,$11.99
"Wisconsin 6 Cheese Hand Tossed Pizza, XLarge",178,18.0,48,20,4,2,910,50,440,9.0,0.5,$11.99
Buffalo Chicken Sandwich,174,21.0,37,22,2,2,1270,60,420,8.0,1.0,$5.99
Chicken Bacon Ranch Sandwich,157,22.0,36,24,2,1,1140,65,440,8.0,0.0,$5.99
Chicken Parm Sandwich,161,15.0,37,25,2,2,1000,60,380,8.0,0.0,$5.99
Italian Sandwich,163,20.0,36,22,2,2,1380,55,410,9.0,0.5,$5.99
Mediterranean Veggie Sandwich,167,14.0,38,18,3,2,1110,40,350,8.0,0.0,$5.99
Philly Cheese Steak Sandwich,153,12.0,37,17,3,2,1130,40,320,6.0,0.0,$5.99
Sweet & Spicy Chicken Habanero Sandwich,173,16.0,42,23,7,1,1020,60,400,8.0,0.0,$5.99
Chicken Alfredo in Bread Bowl,298,25.0,91,25,4,3,970,55,690,10.0,1.0,$6.99
Chicken Alfredo in Dish,326,30.0,60,27,4,2,1020,105,620,17.0,1.0,$5.99
Chicken Carbonara in Bread Bowl,319,28.0,92,27,4,3,1120,65,730,11.0,1.0,$7.99
Chicken Carbonara in Dish,369,35.0,63,32,5,2,1320,125,690,18.0,1.0,$6.99
Italian Sausage Marinara in Bread Bowl,326,27.0,96,25,9,5,1280,35,730,9.0,1.0,$6.99
Italian Sausage Marinara in Dish,383,34.0,70,28,14,6,1620,70,690,14.0,1.0,$5.99
Pasta Primavera in Bread Bowl,303,24.0,91,19,4,3,860,35,660,10.0,1.0,$7.99
Pasta Primavera in Dish,337,27.0,61,16,5,3,790,65,550,16.0,1.0,$6.99
BBQ Wings,118,13.0,18,13,10,0,840,85,240,3.5,0.0,$6.49
Crispy Bacon & Tomato Specialty Chicken,90,17.0,15,11,1,0,840,45,250,4.5,0.0,$5.99
Fire Wings,118,13.0,8,13,1,1,1690,85,200,3.5,0.0,$6.49
Hot Wings,118,13.0,8,13,1,1,1660,85,200,3.5,0.0,$6.49
Mild Wings,118,13.0,8,13,1,0,1400,85,200,3.5,0.0,$6.49
Plain Wings,90,13.0,7,13,0,0,660,85,190,3.5,0.0,$6.49
Red BBQ Wings,118,13.0,15,13,7,0,940,85,230,3.5,0.0,$0.99
Spicy Jalapeno & Pineapple Specialty Chicken,90,8.0,22,9,7,1,660,35,180,2.5,0.0,$5.99
Sweet Mango Habanero Wings,118,13.0,20,13,11,0,720,85,240,3.5,0.0,$0.59
Chicken Apple Pecan Salad,170,4.5,23,13,14,4,350,40,190,2.5,0.0,$6.49
Chicken Caesar Salad,198,7.0,15,16,3,2,520,45,210,3.5,0.0,$6.49
Classic Garden Salad,244,9.0,17,8,6,4,220,20,200,4.5,0.0,$6.49
Ben & Jerry's Cherry Garcia Ice Cream,107,15.0,27,4,23,1,40,70,260,9.0,1.0,$0.59
Ben & Jerry's Chocolate Chip Cookie Dough Ice Cream,104,15.0,32,4,25,0,50,75,280,9.0,1.0,$6.49
Ben & Jerry's Chocolate Fudge Brownie Ice Cream,105,13.0,30,5,27,2,70,50,260,8.0,0.0,$6.49
