Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Buffalo Chicken - Medium Thin 'N Crispy® Slice,88.3,5.0,25,9,3,1,620,20,190,3.0,0.0,$16.49
Cheese - Medium Thin 'N Crispy® Slice,82.8,7.0,22,10,3,2,440,25,190,4.0,0.0,$15.49
Chicken-Bacon Parmesan - Medium Thin 'N Crispy® Slice,94.4,9.0,21,11,3,1,460,30,210,4.0,0.0,$16.49
Hawaiian Chicken - Medium Thin 'N Crispy® Slice,100.3,6.0,24,10,4,2,480,25,180,3.0,0.0,$15.49
Meat Lover's® - Medium Thin 'N Crispy® Slice,100.9,14.0,22,12,3,2,650,35,260,6.0,0.0,$15.49
Pepperoni - Medium Thin 'N Crispy® Slice,80.8,9.0,22,9,3,2,480,25,210,4.0,0.0,$15.49
Pepperoni Lover's® - Medium Thin 'N Crispy®; Slice,96.3,13.0,22,12,3,2,600,40,260,6.0,0.0,$15.49
Supreme - Medium Thin 'N Crispy® Slice,104.5,10.0,23,10,3,2,490,25,220,4.5,0.0,$15.49
Ultimate Cheese Lover's® - Medium Thin 'N Crispy® Slice,83.7,10.0,22,11,3,1,450,25,220,5.0,0.0,$15.49
Veggie Lover's® - Medium Thin 'N Crispy® Slice,108.1,6.0,24,8,4,2,420,15,180,3.0,0.0,$15.49
Backyard BBQ Chicken - Large Original Pan Slice,150.3,16.0,43,16,7,2,650,35,380,6.0,0.0,$15.49
Buffalo Chicken - Large Original Pan Slice,148.6,14.0,40,15,2,2,850,30,350,5.0,0.0,$13.49
Cheese - Large Original Pan Slice,148.2,17.0,37,16,2,2,660,35,360,7.0,0.0,$11.99
Chicken-Bacon Parmesan - Large Original Pan Slice,158.8,20.0,35,18,2,2,680,40,390,7.0,0.0,$15.49
Hawaiian Chicken - Large Original Pan Slice,165.9,14.0,38,17,3,2,720,35,350,5.0,0.0,$15.49
Meat Lover's® - Large Original Pan Slice,174.3,27.0,37,19,2,2,970,50,470,10.0,0.0,$12.49
Pepperoni - Large Original Pan Slice,140.9,18.0,36,15,2,2,680,35,370,6.0,0.0,$12.49
Pepperoni Lover's® - Large Original Pan Slice,163.7,24.0,37,19,2,3,850,50,440,9.0,0.5,$12.49
Supreme - Large Original Pan Slice,169.2,20.0,37,16,2,2,740,40,400,7.0,0.0,$12.49
Ultimate Cheese Lover's® - Large Original Pan Slice,148.3,20.0,36,17,2,2,670,40,390,8.0,0.0,$12.49
Veggie Lover's® - Large Original Pan Slice,166.0,15.0,38,13,3,3,620,25,330,5.0,0.0,$12.49
Backyard BBQ Chicken - Large Hand Tossed Slice,132.8,10.0,40,14,7,2,530,30,300,4.5,0.0,$12.49
Buffalo Chicken - Large Hand Tossed Slice,131.5,8.0,37,13,2,2,740,30,270,4.0,0.0,$12.49
Cheese - Large Hand Tossed Slice,128.9,10.0,34,13,2,3,540,30,290,5.0,0.0,$12.49
Chicken-Bacon Parmesan - Large Hand Tossed Slice,141.7,13.0,33,16,1,2,560,35,310,5.0,0.0,$12.49
Hawaiian Chicken - Large Hand Tossed Slice,150.5,9.0,36,15,3,3,610,30,280,4.0,0.0,$12.49
Meat Lover's® - Large Hand Tossed Slice,157.4,21.0,34,17,2,3,860,50,390,8.0,0.0,$12.49
Pepperoni - Large Hand Tossed Slice,125.3,13.0,34,13,2,3,590,30,300,6.0,0.0,$12.49
Pepperoni Lover's® - Large Hand Tossed Slice,145.7,18.0,35,17,2,3,740,50,370,8.0,0.0,$12.49
Supreme - Large Hand Tossed Slice,154.5,14.0,35,14,2,3,630,35,330,6.0,0.0,$12.49
Ultimate Cheese Lover's® - Large Hand Tossed Slice,127.8,13.0,33,15,1,2,540,35,310,6.0,0.0,$12.49
Veggie Lover's® - Large Hand Tossed Slice,153.0,9.0,36,11,2,3,510,20,260,4.0,0.0,$12.49
Backyard BBQ Chicken - Large Thin 'N Crispy® Slice,118.7,9.0,35,14,9,2,590,35,280,4.5,0.0,$15.49
Buffalo Chicken - Large Thin 'N Crispy® Slice,118.4,8.0,33,13,4,2,810,30,250,4.0,0.0,$16.49
Cheese - Large Thin 'N Crispy® Slice,114.9,10.0,29,14,4,2,610,35,260,6.0,0.0,$15.49
Chicken-Bacon Parmesan - Large Thin 'N Crispy® Slice,128.4,13.0,28,15,4,2,620,40,290,6.0,0.0,$16.49
Hawaiian Chicken - Large Thin 'N Crispy® Slice,137.3,8.0,31,14,6,2,670,35,250,4.0,0.0,$15.49
Meat Lover's® - Large Thin 'N Crispy® Slice,141.0,20.0,29,17,4,2,920,50,370,9.0,0.0,$15.49
Pepperoni - Large Thin 'N Crispy® Slice,110.6,13.0,29,13,4,2,660,35,280,6.0,0.0,$15.49
Pepperoni Lover's® - Large Thin 'N Crispy®; Slice,133.4,18.0,30,17,4,2,830,55,350,9.0,0.5,$15.49
