Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
The Big Carl,,58.0,56,47,12,3,1380,140,920,23.0,2.0,$3.99
Western Bacon Cheeseburger,,34.0,74,33,16,4,1500,75,730,14.0,1.0,$6.59
Guacamole Turkey Burger,,19.0,44,32,9,3,1000,85,480,6.0,0.0,$7.99
Jalapeno Turkey Burger,,22.0,43,31,9,3,1150,90,500,6.0,0.0,$2.19
Teriyaki Turkey Burger,,14.0,56,32,19,3,1120,85,480,5.0,0.0,$2.19
Turkey Burger,,22.0,45,29,10,3,960,80,490,4.5,0.0,$2.49
Bacon Swiss Crispy Chicken Sandwich,,42.0,64,38,13,4,1850,95,780,11.0,0.5,$5.55
Beer-Battered Cod Fish Sandwich,,19.0,74,21,12,3,1140,45,550,3.5,0.0,$3.69
Big Chicken Fillet Sandwich,,35.0,62,32,11,4,1360,75,680,6.0,0.0,$4.59
Charbroiled BBQ Chicken Sandwich,,7.0,50,30,13,3,990,60,390,1.5,0.0,$4.79
Charbroiled Chicken Club Sandwich,,28.0,46,36,11,2,1290,90,580,8.0,0.0,$5.29
Charbroiled Santa Fe Chicken Sandwich,,27.0,46,33,10,3,1290,85,560,7.0,0.0,$5.29
"Chicken Stars, 4 Pieces",,10.0,12,8,0,1,360,20,170,2.0,0.0,$3.99
"Chicken Stars, 6 Pieces",,16.0,18,12,0,2,540,30,260,3.5,0.0,$3.99
"Chicken Stars, 9 Pieces",,23.0,26,18,0,3,810,45,390,5.0,0.0,$3.99
"Hand-Breaded Chicken Tenders, 3 Pieces",,13.0,13,25,0,2,770,70,260,2.5,0.0,$3.99
"Hand-Breaded Chicken Tenders, 5 Pieces",,21.0,21,41,0,3,1290,115,440,4.5,0.0,$5.79
Kid's Hand-Breaded Chicken Tenders,,9.0,9,16,0,1,520,45,180,2.0,0.0,$5.79
Spicy Chicken Sandwich,,29.0,43,14,6,3,1330,40,490,6.0,0.0,$5.55
Chocolate Cake,,12.0,48,3,36,1,350,30,300,3.0,0.0,$0.89
Chocolate Chip Cookie,,19.0,48,3,27,2,350,30,370,10.0,0.0,$0.89
Strawberry Swirl Cheesecake,,16.0,32,6,21,0,230,55,290,9.0,0.0,$1.79
Bean & Cheese Burrito,,15.0,56,19,1,8,1200,30,440,8.0,0.0,$3.29
"Beef, Bean & Cheese Burrito",,18.0,52,24,1,7,1280,50,470,9.0,0.0,$3.29
"Burrito California, Chicken",,18.0,41,31,2,2,1360,85,450,8.0,0.0,$1.89
"Burrito California, Steak",,21.0,44,28,3,2,1780,80,480,10.0,0.0,$0.25
"Burrito Especial, Chicken",,19.0,55,35,3,7,1710,85,530,8.0,0.0,$5.29
"Burrito Especial, Steak",,22.0,58,33,4,7,2120,80,560,10.0,0.0,$2.79
"Burrito Mexicano, Chicken",,16.0,54,35,2,6,1630,85,500,8.0,0.0,$5.29
"Burrito Mexicano, Steak",,19.0,56,32,3,6,2050,80,540,9.0,0.0,$2.79
"Chicken Taquitos, 3 Pieces",,20.0,37,18,2,5,730,50,400,6.0,0.0,$2.99
"Chicken Taquitos, 5 Pieces",,30.0,62,28,4,9,1140,70,620,8.0,0.0,$3.99
Chips,,17.0,35,4,0,3,35,0,300,3.0,0.0,$1.49
"Quesadilla, Cheese",,34.0,37,16,0,1,980,55,520,12.0,0.0,$1.99
"Quesadilla, Chicken",,36.0,39,34,1,1,1450,110,610,13.0,0.0,$2.99
"Quesadilla, Steak",,39.0,41,31,1,2,1860,105,640,14.0,0.0,$1.99
Side of Beans,,6.0,34,14,1,11,910,15,250,3.0,0.0,$1.69
"Super Nachos, Chicken",,43.0,92,35,5,12,1720,70,900,9.0,0.0,$3.29
"Super Nachos, Ground Beef",,51.0,95,33,5,15,1770,65,970,12.0,1.0,$3.29
"Super Nachos, Steak",,46.0,94,33,6,13,2140,70,930,11.0,0.0,$3.29
"Taco Salad, Chicken",,39.0,67,40,8,11,1710,90,770,12.0,0.0,$1.89
"Taco Salad, Ground Beef",,47.0,70,38,8,14,1760,85,850,15.0,1.0,$1.89
"Taco Salad, Steak",,43.0,69,38,8,11,2130,85,810,14.0,0.0,$1.89
"Hard Taco, Ground Beef",,12.0,15,11,1,3,340,35,210,5.0,0.0,$1.99
Southwest Chicken Soft Taco,,19.0,17,15,1,1,680,50,300,6.0,0.0,$1.99
"Street Taco, Chicken",,6.0,13,10,1,1,270,30,140,3.5,0.0,$1.99
"Street Taco, Steak",,7.0,14,9,1,1,480,25,160,4.0,0.0,$1.19
Chocolate Malt,,37.0,99,14,70,1,350,105,770,25.0,1.5,$0.89
Chocolate Shake,,36.0,84,12,59,1,300,105,700,25.0,1.5,$0.89
OREO Cookie Malt,,40.0,94,15,64,1,390,105,780,26.0,1.5,$0.89
OREO Cookie Shake,,39.0,79,13,53,1,340,105,710,25.0,1.5,$0.89
Strawberry Malt,,37.0,98,13,75,0,290,105,770,25.0,1.5,$1.69
Strawberry Shake,,36.0,83,12,63,0,250,105,700,24.0,1.5,$1.99
Vanilla Malt,,36.0,100,13,76,0,290,105,770,25.0,1.5,$1.69
Vanilla Shake,,35.0,86,12,65,0,240,105,700,24.0,1.5,$2.99
Charbroiled Chicken Salad (add dressing),,11.0,27,31,10,3,770,75,320,3.5,0.0,$5.29
Garden Side Salad (add dressing),,4.5,14,4,3,2,230,5,110,1.5,0.0,$1.69
CrissCut Fries,,29.0,42,5,0,4,900,0,450,5.0,0.0,$2.19
Fried Zucchini,,18.0,36,6,7,2,610,0,330,3.0,0.0,$5.29
"Natural-Cut Fries, Kids",,12.0,31,3,0,3,480,0,240,2.0,0.0,$1.99
"Natural-Cut Fries, Large",,22.0,59,5,0,6,920,0,460,4.0,0.0,$2.19
"Natural-Cut Fries, Medium",,21.0,55,5,0,5,860,0,430,4.0,0.0,$1.99
"Natural-Cut Fries, Small",,15.0,39,3,0,4,600,0,300,2.5,0.0,$1.79
Onion Rings,,28.0,61,8,6,3,590,0,530,4.5,0.0,$2.19
