Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Brown Steamed Rice,,4.0,86,9,1,4,15,0,420,1.0,0,$2.10
Chow Fun,,9.0,73,9,6,1,1110,0,410,1.0,0,$2.10
Chow Mein,266.0,20.0,80,13,9,6,860,0,510,3.5,0,$2.10
Fried Rice,264.0,16.0,85,11,3,1,850,120,520,3.0,0,$1.80
"Mixed Vegetables, Side",,0.5,16,4,5,5,540,0,80,0.0,0,$9.70
White Steamed Rice,,0.0,87,7,0,0,0,0,380,0.0,0,$2.10
Country Style Bean Curd,,12.0,14,7,8,2,950,0,190,1.5,0,$2.10
Eggplant Tofu,173.0,24.0,23,7,17,3,520,0,340,3.5,0,$0.75
Hot Szechuan Tofu,,8.0,10,6,5,2,580,0,140,1.0,0,$2.10
Asian Chicken,,13.0,14,41,10,3,630,195,340,3.5,0,$9.70
Black Pepper Chicken,173.0,19.0,15,13,7,1,1130,55,280,3.5,0,$1.80
Grilled Asian Chicken,,13.0,8,36,8,0,530,185,300,4.0,0,$2.10
Grilled Teriyaki Chicken,,13.0,8,36,8,0,530,185,300,4.0,0,$2.10
Kung Pao Chicken,164.0,19.0,14,16,6,2,970,55,290,3.5,0,$9.70
Mushroom Chicken,167.0,14.0,11,12,4,1,840,50,220,2.5,0,$9.70
Orange Chicken,162.0,23.0,51,25,19,2,820,80,490,5.0,0,$9.70
Potato Chicken,147.0,10.0,18,8,4,2,680,30,190,2.0,0,$2.10
Teriyaki Chicken,,13.0,14,41,10,3,630,195,340,3.5,0,$9.70
Honey Sesame Chicken Breast,,22.0,40,16,19,2,480,45,420,4.0,0,$9.70
String Bean Chicken Breast,159.0,9.0,13,14,4,4,590,35,190,2.0,0,$9.70
Sweet & Sour Chicken Breast,156.0,12.0,40,10,24,1,260,25,300,3.0,0,$9.70
SweetFire Chicken Breast,164.0,15.0,47,13,27,1,320,35,380,3.0,0,$9.70
Beijing Beef,159.0,26.0,46,13,24,1,660,25,470,5.0,0,$2.10
Broccoli Beef,153.0,7.0,13,9,7,2,520,10,150,1.5,0,$2.10
Shanghai Angus Steak with String Beans,,19.0,17,19,11,1,790,40,310,4.0,0,$13.45
"Crispy Shrimp, Entree",,13.0,26,9,2,1,800,60,260,2.0,0,$1.90
Golden Treasure Shrimp,142.0,18.0,35,14,14,2,440,100,360,3.0,0,$1.90
Honey Walnut Shrimp,105.0,23.0,35,13,9,2,440,100,360,3.5,0,$1.80
Steamed Ginger Fish,,12.0,8,15,6,0,1990,40,200,2.5,0,$2.10
Chicken Egg Roll,85.0,10.0,20,6,2,2,340,20,200,2.0,0,$9.70
Chicken Potsticker,94.0,6.0,20,6,2,1,250,20,160,1.5,0,$9.70
Crispy Shrimp,,6.0,13,5,1,1,400,30,130,1.0,0,$1.90
Vegetable Spring Roll,96.0,8.0,27,3,3,2,520,0,190,1.5,0,$9.70
"Hot & Sour Soup, Bowl",,6.0,20,10,6,1,1260,90,170,1.0,0,$1.60
"Hot & Sour Soup, Cup",301.0,5.0,14,7,4,1,880,65,120,0.5,0,$1.80
Kids Asian Chicken,,8.0,8,25,6,2,380,115,200,2.0,0,$9.70
Kids Beijing Beef,,20.0,34,10,18,1,490,20,350,4.0,0,$9.70
Kids Broccoli Beef,,6.0,10,7,5,2,400,10,110,1.0,0,$30.00
Kids Brown Steamed Rice,,3.0,64,7,1,3,10,0,310,0.5,0,$3.70
Kids Chow Fun,,6.0,53,6,4,1,810,0,300,0.5,0,$1.90
Kids Chow Mein,,12.0,36,7,5,2,540,0,280,2.0,0,$1.80
Kids Country Style Bean Curd,,8.0,9,4,5,1,600,0,120,1.0,0,$2.10
Kids Crispy Shrimp,,8.0,17,6,1,1,520,40,170,1.5,0,$1.90
