Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
Artisan Egg Sandwich with Sausage,,33.0,27,21,4,1,980,275,480,13.0,0.0,$0.99
Bacon Breakfast Bowl,,28.0,44,19,2,4,1390,245,510,9.0,0.0,$2.89
Biggie Breakfast Sandwich,,40.0,37,27,7,2,1400,290,610,15.0,0.0,$0.99
Fresh-Baked Biscuit with Applewood Smoked Bacon,,24.0,34,15,5,1,970,235,410,13.0,0.0,$1.69
Fresh Baked Biscuit with Natural Sausage,,41.0,36,20,6,1,1270,270,590,19.0,0.0,$2.19
Gravy and Sausage Bowl,,22.0,50,12,2,4,1260,220,450,6.0,0.0,$1.49
Honey Butter Chicken Biscuit,,26.0,48,19,9,1,1120,50,500,12.0,0.0,$4.69
Sausage and Egg Burrito,,20.0,29,17,2,1,920,210,360,8.0,0.0,$0.99
Sausage and Gravy Biscuit,,29.0,49,8,6,2,1400,20,490,14.0,0.0,$0.99
Sausage Biscuit,,33.0,35,12,5,1,1010,50,480,15.0,0.0,$3.39
Sausage Breakfast Bowl,,42.0,46,21,3,4,1540,270,640,14.0,0.0,$2.19
"Seasoned Home-Style Potatoes, Large",,13.0,57,5,1,6,1080,0,360,2.5,0.0,$2.69
"Seasoned Home-Style Potatoes, Medium",,9.0,39,4,1,4,750,0,250,1.5,0.0,$2.29
"Seasoned Home-Style Potatoes, Small",,8.0,35,3,0,4,680,0,230,1.5,0.0,$1.99
Two Sausage and Egg Burritos,,41.0,59,34,5,2,1830,420,720,16.0,0.0,$0.99
Two Sausage Biscuits,,65.0,70,23,10,3,2020,95,960,31.0,0.0,$3.39
