Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat,Price
"Bacon, Egg & Cheese Biscuit",,21.0,40,15,1,2,1240,170,420,11.0,0,$2.59
"Bacon, Egg, & Cheese Muffin",,12.0,31,16,1,1,710,170,300,5.0,0,$2.59
Buttered Biscuit,,13.0,41,4,4,4,710,0,300,7.0,0,$0.89
"Chick-n-Minis, 4-Count",,14.0,37,19,6,2,860,55,350,4.0,0,$2.99
"Chicken, Egg & Cheese Bagel",,18.0,51,27,8,3,1310,195,480,5.0,0,$3.39
Chicken Biscuit,,32.0,50,17,5,4,1310,35,450,8.0,0,$2.35
Egg White Grill,,7.0,31,25,1,1,970,55,300,3.0,0,$3.39
Greek Yogurt Parfait with Chocolate Cookie Crumbs,,8.0,26,11,21,1,95,25,210,0.0,0,$2.45
Greek Yogurt Parfait with Granola,,8.0,29,12,22,2,95,25,240,0.0,0,$2.45
Hash Brown Scramble Bowl,,29.0,21,31,1,4,1230,370,460,9.0,0,$0.99
Hash Brown Scramble Burrito,,38.0,50,35,1,5,1680,370,680,0.0,0,$0.99
"Sausage, Egg, & Cheese Biscuit",,40.0,41,20,1,3,1520,200,600,18.0,0,$2.59
"Sausage, Egg, & Cheese Muffin",,30.0,32,20,1,2,990,200,490,12.0,0,$2.59
Sunflower Multigrain Bagel with Cream Cheese,,10.0,43,7,7,3,460,20,290,4.5,0,$1.79
Chick-fil-A Deluxe Sandwich,,23.0,42,31,6,3,1590,75,500,7.0,0,$3.65
"Chick-fil-A Nuggets, 4-Count",,6.0,5,14,0,1,490,40,130,0.0,0,$3.05
"Chick-fil-A Nuggets, 6-Count",,9.0,7,21,0,1,730,55,190,0.0,0,$3.05
"Chick-fil-A Nuggets, 8-Count",,12.0,9,28,0,1,980,75,260,0.0,0,$3.05
"Chick-fil-A Nuggets, 12-Count",,18.0,14,41,1,2,1460,115,390,0.0,0,$4.45
"Chick-n-Strips, 3-Count",,17.0,22,28,3,1,940,70,350,0.0,0,$3.35
"Chick-n-Strips, 4-Count",,23.0,29,37,4,1,1250,90,470,0.0,0,$4.39
Chicken Sandwich,,19.0,40,28,5,2,1350,60,440,4.0,0,$3.99
Grilled Chicken Club Sandwich,,16.0,37,37,7,3,1120,85,430,8.0,0,$5.59
Grilled Chicken Cool Wrap,,13.0,30,40,3,0,1030,65,360,4.0,0,$5.19
Grilled Chicken Sandwich,,6.0,36,29,7,3,820,55,310,2.0,0,$4.39
"Grilled Nuggets, 4-Count",,2.0,1,13,0,0,220,35,70,0.0,0,$3.75
"Grilled Nuggets, 6-Count",,2.5,2,19,0,0,330,50,110,0.0,0,$4.65
"Grilled Nuggets, 8-Count",,3.5,2,25,0,0,440,70,140,0.0,0,$4.65
"Grilled Nuggets, 12-Count",,5.0,3,38,1,0,670,100,210,0.0,0,$4.65
Spicy Deluxe Sandwich,,25.0,43,34,6,2,1760,80,540,8.0,0,$3.89
Spicy Sandwich,,19.0,41,30,5,1,1620,60,450,4.0,0,$3.29
Cobb Salad,,28.0,28,40,6,6,1360,150,510,7.0,0,$7.19
Grilled Market Salad,,14.0,27,27,13,6,680,60,330,3.5,0,$7.19
Honey Peppercorn Salad,,30.0,53,39,27,0,1410,100,630,7.0,0,$7.19
Spicy Southwest Salad,,19.0,37,34,8,10,1070,75,450,4.0,0,$2.89
"Chicken Noodle Soup, Large",,4.5,35,22,5,4,2000,55,240,0.0,0,$4.35
"Chicken Noodle Soup, Small",,2.5,18,12,2,2,1040,30,130,0.0,0,$4.35
Side Salad,,11.0,12,6,3,3,180,15,160,3.0,0,$2.89
"Superfood Side, Large",,9.0,25,4,18,3,250,0,190,0.0,0,$3.89
"Superfood Side, Small",,9.0,18,3,12,2,180,0,150,0.0,0,$1.25
"Waffle Potato Fries, Large",,24.0,56,6,0,7,370,0,460,0.0,0,$1.85
"Waffle Potato Fries, Medium",,18.0,43,5,0,5,280,0,360,0.0,0,$1.65
"Waffle Potato Fries, Small",,14.0,33,4,0,4,220,0,280,0.0,0,$1.55
Chocolate Chunk Cookie,,14.0,45,4,27,2,230,15,330,8.0,0,$6.65
"Frosted Sunrise, Large",,7.0,74,9,58,5,25,0,390,0.0,0,$1.85
"Frosted Sunrise, Small",,5.0,60,7,47,4,135,20,320,3.5,0,$1.35
"Icedream Cone, Large",,6.0,45,7,38,0,170,20,260,3.5,0,$1.65
"Icedream Cone, Small",,4.0,31,5,25,0,115,15,170,2.0,0,$1.25
Icedream Cup,,7.0,50,8,49,0,200,25,290,5.0,0,$1.85
