Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Sausage Pizza,336g,35g,98g,35g,8g,4g,1870mg,80mg,860,14g,0.5g
9-Grain Honey Oat Bread,82g,2.5g,43g,8g,6g,4g,280mg,0mg,230,0.5g,0g
9-Grain Wheat Bread,78g,2g,40g,8g,5g,4g,270mg,0mg,210,0.5g,0g
Artisan Flatbread,87g,4.5g,39g,7g,2g,4g,340mg,0mg,230,1g,0g
Bagel,105g,1.5g,56g,11g,1g,2g,560mg,0mg,290,0g,0g
Gluten-Free Bread,113g,12g,52g,6g,7g,3g,800mg,0mg,340,7g,0g
Habanero Wrap,102g,8g,50g,9g,1g,0g,690mg,0mg,300,3.5g,0g
Harvest Bread,82g,3g,41g,10g,5g,4g,280mg,0mg,230,0.5g,0g
Hearty Italian Bread,75g,2.5g,40g,7g,3g,2g,340mg,0mg,210,0.5g,0g
Italian Herbs & Cheese Bread,82g,5g,41g,9g,3g,2g,530mg,10mg,240,2g,0g
Italian White Bread,71g,2.5g,38g,7g,3g,1g,340mg,0mg,200,0.5g,0g
Jalapeno Cheese/Cheddar Bread,85g,5g,40g,9g,3g,2g,690mg,10mg,240,2g,0g
Monterey Cheddar Bread,82g,6g,38g,10g,3g,2g,410mg,10mg,240,2.5g,0g
Parmesan Oregano Bread,75g,2.5g,40g,7g,3g,2g,490mg,0mg,210,0.5g,0g
Roasted Garlic Bread,82g,2.5g,44g,8g,4g,2g,1260mg,0mg,230,0.5g,0g
Rye Bread,78g,2.5g,34g,8g,4g,4g,330mg,0mg,190,0g,0g
Sourdough Bread,78g,1.5g,36g,9g,3g,1g,310mg,0mg,190,0g,0g
Spinach Wrap,102g,8g,48g,8g,1g,2g,780mg,0mg,300,3.5g,0g
Tomato Basil Wrap,102g,8g,49g,8g,1g,2g,730mg,0mg,300,3.5g,0g
BBQ Pulled Pork,113g,6g,18g,15g,18g,0g,700mg,45mg,200,4g,0g
BBQ Rib Patty,78g,22g,4g,12g,3g,0g,470mg,45mg,260,0.5g,0g
Buffalo Chicken Strips,85g,2g,1g,16g,0g,0g,620mg,50mg,90,0g,0g
Chicken Enchilada,85g,4g,7g,12g,2g,1g,410mg,0mg,120,0g,0g
Chicken Strips,71g,1.5g,0g,16g,0g,0g,210mg,50mg,80,1.5g,0g
Corned Beef,99g,3g,4g,26g,4g,0g,1070mg,65mg,150,3g,0g
Egg Patty,85g,7g,3g,9g,0g,0g,410mg,160mg,120,3g,0g
Egg Salad,85g,23g,1g,8g,1g,0g,170mg,255mg,250,0g,0g
Egg White Patty,85g,2g,3g,11g,0g,0g,440mg,0mg,80,0.5g,0g
