Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Veggie Lover's® - Medium Hand Tossed Slice,111.3g,6g,27g,8g,2g,2g,370mg,15mg,200,2.5g,0g
Backyard BBQ Chicken - Medium Thin 'N Crispy® Slice,88.1g,7g,27g,10g,7g,1g,440mg,25mg,210,3g,0g
Buffalo Chicken - Medium Thin 'N Crispy® Slice,88.3g,5g,25g,9g,3g,1g,620mg,20mg,190,3g,0g
Cheese - Medium Thin 'N Crispy® Slice,82.8g,7g,22g,10g,3g,2g,440mg,25mg,190,4g,0g
Chicken-Bacon Parmesan - Medium Thin 'N Crispy® Slice,94.4g,9g,21g,11g,3g,1g,460mg,30mg,210,4g,0g
Hawaiian Chicken - Medium Thin 'N Crispy® Slice,100.3g,6g,24g,10g,4g,2g,480mg,25mg,180,3g,0g
Meat Lover's® - Medium Thin 'N Crispy® Slice,100.9g,14g,22g,12g,3g,2g,650mg,35mg,260,6g,0g
Pepperoni - Medium Thin 'N Crispy® Slice,80.8g,9g,22g,9g,3g,2g,480mg,25mg,210,4g,0g
Pepperoni Lover's® - Medium Thin 'N Crispy®; Slice,96.3g,13g,22g,12g,3g,2g,600mg,40mg,260,6g,0g
Supreme - Medium Thin 'N Crispy® Slice,104.5g,10g,23g,10g,3g,2g,490mg,25mg,220,4.5g,0g
Ultimate Cheese Lover's® - Medium Thin 'N Crispy® Slice,83.7g,10g,22g,11g,3g,1g,450mg,25mg,220,5g,0g
Veggie Lover's® - Medium Thin 'N Crispy® Slice,108.1g,6g,24g,8g,4g,2g,420mg,15mg,180,3g,0g
Backyard BBQ Chicken - Large Original Pan™ Slice,150.3g,16g,43g,16g,7g,2g,650mg,35mg,380,6g,0g
Buffalo Chicken - Large Original Pan™ Slice,148.6g,14g,40g,15g,2g,2g,850mg,30mg,350,5g,0g
Cheese - Large Original Pan™ Slice,148.2g,17g,37g,16g,2g,2g,660mg,35mg,360,7g,0g
Chicken-Bacon Parmesan - Large Original Pan™ Slice,158.8g,20g,35g,18g,2g,2g,680mg,40mg,390,7g,0g
Hawaiian Chicken - Large Original Pan™ Slice,165.9g,14g,38g,17g,3g,2g,720mg,35mg,350,5g,0g
Meat Lover's® - Large Original Pan™ Slice,174.3g,27g,37g,19g,2g,2g,970mg,50mg,470,10g,0g
Pepperoni - Large Original Pan™ Slice,140.9g,18g,36g,15g,2g,2g,680mg,35mg,370,6g,0g
Pepperoni Lover's® - Large Original Pan™ Slice,163.7g,24g,37g,19g,2g,3g,850mg,50mg,440,9g,0.5g
Supreme - Large Original Pan™ Slice,169.2g,20g,37g,16g,2g,2g,740mg,40mg,400,7g,0g
