Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Philly Cheese Steak Sandwich,153g,12g,37g,17g,3g,2g,1130mg,40mg,320,6g,0g
Sweet & Spicy Chicken Habanero Sandwich,173g,16g,42g,23g,7g,1g,1020mg,60mg,400,8g,0g
Chicken Alfredo in Bread Bowl,298g,25g,91g,25g,4g,3g,970mg,55mg,690,10g,1g
Chicken Alfredo in Dish,326g,30g,60g,27g,4g,2g,1020mg,105mg,620,17g,1g
Chicken Carbonara in Bread Bowl,319g,28g,92g,27g,4g,3g,1120mg,65mg,730,11g,1g
Chicken Carbonara in Dish,369g,35g,63g,32g,5g,2g,1320mg,125mg,690,18g,1g
Italian Sausage Marinara in Bread Bowl,326g,27g,96g,25g,9g,5g,1280mg,35mg,730,9g,1g
Italian Sausage Marinara in Dish,383g,34g,70g,28g,14g,6g,1620mg,70mg,690,14g,1g
Pasta Primavera in Bread Bowl,303g,24g,91g,19g,4g,3g,860mg,35mg,660,10g,1g
Pasta Primavera in Dish,337g,27g,61g,16g,5g,3g,790mg,65mg,550,16g,1g
BBQ Wings,118g,13g,18g,13g,10g,0g,840mg,85mg,240,3.5g,0g
Crispy Bacon & Tomato Specialty Chicken,90g,17g,15g,11g,1g,0g,840mg,45mg,250,4.5g,0g
Fire Wings,118g,13g,8g,13g,1g,1g,1690mg,85mg,200,3.5g,0g
Hot Wings,118g,13g,8g,13g,1g,1g,1660mg,85mg,200,3.5g,0g
Mild Wings,118g,13g,8g,13g,1g,0g,1400mg,85mg,200,3.5g,0g
Plain Wings,90g,13g,7g,13g,0g,0g,660mg,85mg,190,3.5g,0g
Red BBQ Wings,118g,13g,15g,13g,7g,0g,940mg,85mg,230,3.5g,0g
Spicy Jalapeno & Pineapple Specialty Chicken,90g,8g,22g,9g,7g,1g,660mg,35mg,180,2.5g,0g
Sweet Mango Habanero Wings,118g,13g,20g,13g,11g,0g,720mg,85mg,240,3.5g,0g
Chicken Apple Pecan Salad,170g,4.5g,23g,13g,14g,4g,350mg,40mg,190,2.5g,0g
Chicken Caesar Salad,198g,7g,15g,16g,3g,2g,520mg,45mg,210,3.5g,0g
Classic Garden Salad,244g,9g,17g,8g,6g,4g,220mg,20mg,200,4.5g,0g
Ben & Jerry's Cherry Garcia Ice Cream,107g,15g,27g,4g,23g,1g,40mg,70mg,260,9g,1g
Ben & Jerry's Chocolate Chip Cookie Dough Ice Cream,104g,15g,32g,4g,25g,0g,50mg,75mg,280,9g,1g
Ben & Jerry's Chocolate Fudge Brownie Ice Cream,105g,13g,30g,5g,27g,2g,70mg,50mg,260,8g,0g
