Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Sourdough Breakfast Melt,152g,21g,35g,20g,4g,2g,1010mg,250mg,410,8g,0g
Spicy Chicken Biscuit,170g,29g,44g,25g,3g,2g,1110mg,50mg,550,9g,0g
Supreme Croissant,148g,27g,32g,19g,4g,2g,890mg,260mg,450,12g,0.5g
Ultimate Breakfast Sandwich,214g,31g,30g,3g,4g,1g,1540mg,490mg,520,11g,0g
Chick-N-Tater Melt Munchie Meal,1213g,109g,220g,44g,76g,13g,3470mg,120mg,2010,28g,1.5g
Halfsies (a al carte),122g,21g,46g,5g,0g,4g,810mg,0mg,390,2g,0g
Halfsies (in Munchie Meal),140g,24g,53g,5g,0g,4g,930mg,0mg,450,2g,0g
Spicy Nacho Chicken Munchie Meal,1199g,80g,224g,48g,78g,13g,3260mg,80mg,1790,14g,1g
Sriracha Curly Fry Burger Munchie Meal,1121g,87g,196g,44g,75g,11g,2700mg,105mg,1720,20g,2.5g
Stacked Grilled Cheese Burger Munchie Meal,1241g,94g,213g,56g,79g,13g,3660mg,130mg,1890,27g,2.5g
"Milk, Low Fat",214g,2g,12g,9g,12g,0g,130mg,10mg,110,1.5g,0g
Chocolate Overload Cake,93g,7g,57g,4g,34g,2g,350mg,40mg,300,1.5g,0g
Mini Churros (5 pc.),86g,18g,42g,4g,12g,2g,280mg,5mg,350,3.5g,0g
Mini Churros (10 pc.),172g,37g,84g,7g,25g,4g,550mg,10mg,690,7g,0g
New York Style Cheesecake,92g,17g,32g,7g,22g,1g,260mg,25mg,310,9g,0g
Kids Breakfast Jack,132g,18g,30g,16g,4g,1g,840mg,240mg,350,6g,0g
Kids Cheeseburger,123g,21g,32g,16g,5g,1g,780mg,35mg,380,8g,1g
Kids Chicken Nuggets,77g,17g,13g,9g,0g,1g,600mg,25mg,240,2g,0g
Kids Chicken Sandwich,156g,31g,42g,15g,4g,2g,940mg,35mg,510,5g,0g
Kids Crispy Chicken Strips,98g,12g,26g,17g,0g,1g,790mg,30mg,280,1.5g,0g
Kids Grilled Cheese Sandwich,94g,16g,34g,11g,3g,2g,800mg,20mg,330,6g,0g
Kids Hamburger,111g,18g,32g,14g,5g,1g,570mg,25mg,340,5g,1g
Kids Mini Pancakes,71g,1.5g,28g,4g,6g,1g,350mg,0mg,140,0g,0g
Jack's Deals Chicken Nuggets (5 pc.),77g,17g,13g,9g,0g,1g,600mg,25mg,240,2g,0g
Jack's Deals Chicken Nuggets (10 pc.),153g,33g,26g,19g,0g,2g,1210mg,50mg,480,4.5g,0g
Jack's Deals Chicken Nuggets (20 pc.),306g,66g,51g,38g,1g,4g,2420mg,105mg,950,9g,0g
Jack's Deals Chicken Sandwich,158g,37g,30g,25g,5g,1g,700mg,70mg,540,12g,1.5g
Jack's Deals Chicken Sandwich with Bacon,158g,37g,30g,25g,5g,1g,700mg,70mg,540,12g,1.5g
Jack's Deals Grilled Cheese Sandwich,94g,16g,34g,11g,3g,2g,800mg,20mg,330,6g,0g
Jack's Deals Jr. Bacon Cheeseburger,129g,31g,32g,19g,5g,1g,860mg,45mg,480,10g,1g
Jack's Deals Jr. Jumbo Jack,150g,26g,33g,14g,6g,2g,560mg,30mg,420,7g,1g
Jack's Deals Jr. Jumbo Jack Cheeseburger,161g,29g,33g,16g,6g,2g,760mg,40mg,460,9g,1g
Jack's Deals Jumbo Jack,223g,33g,32g,23g,6g,2g,580mg,60mg,520,10g,1.5g
Jack's Deals Jumbo Jack Cheeseburger,245g,40g,33g,28g,6g,2g,990mg,80mg,600,14g,1.5g
"Jack's Deals Tacos, Regular",162g,19g,33g,12g,2g,5g,720mg,25mg,340,6g,0.5g
