Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Burrito Especial, Steak",,22g,58g,33g,4g,7g,2120mg,80mg,560,10g,0g
"Burrito Mexicano, Chicken",,16g,54g,35g,2g,6g,1630mg,85mg,500,8g,0g
"Burrito Mexicano, Steak",,19g,56g,32g,3g,6g,2050mg,80mg,540,9g,0g
"Chicken Taquitos, 3 Pieces",,20g,37g,18g,2g,5g,730mg,50mg,400,6g,0g
"Chicken Taquitos, 5 Pieces",,30g,62g,28g,4g,9g,1140mg,70mg,620,8g,0g
Chips,,17g,35g,4g,0g,3g,35mg,0mg,300,3g,0g
"Quesadilla, Cheese",,34g,37g,16g,0g,1g,980mg,55mg,520,12g,0g
"Quesadilla, Chicken",,36g,39g,34g,1g,1g,1450mg,110mg,610,13g,0g
"Quesadilla, Steak",,39g,41g,31g,1g,2g,1860mg,105mg,640,14g,0g
Side of Beans,,6g,34g,14g,1g,11g,910mg,15mg,250,3g,0g
"Super Nachos, Chicken",,43g,92g,35g,5g,12g,1720mg,70mg,900,9g,0g
"Super Nachos, Ground Beef",,51g,95g,33g,5g,15g,1770mg,65mg,970,12g,1g
"Super Nachos, Steak",,46g,94g,33g,6g,13g,2140mg,70mg,930,11g,0g
"Taco Salad, Chicken",,39g,67g,40g,8g,11g,1710mg,90mg,770,12g,0g
"Taco Salad, Ground Beef",,47g,70g,38g,8g,14g,1760mg,85mg,850,15g,1g
"Taco Salad, Steak",,43g,69g,38g,8g,11g,2130mg,85mg,810,14g,0g
"Hard Taco, Ground Beef",,12g,15g,11g,1g,3g,340mg,35mg,210,5g,0g
Southwest Chicken Soft Taco,,19g,17g,15g,1g,1g,680mg,50mg,300,6g,0g
"Street Taco, Chicken",,6g,13g,10g,1g,1g,270mg,30mg,140,3.5g,0g
"Street Taco, Steak",,7g,14g,9g,1g,1g,480mg,25mg,160,4g,0g
Chocolate Malt,,37g,99g,14g,70g,1g,350mg,105mg,770,25g,1.5g
Chocolate Shake,,36g,84g,12g,59g,1g,300mg,105mg,700,25g,1.5g
OREO Cookie Malt,,40g,94g,15g,64g,1g,390mg,105mg,780,26g,1.5g
OREO Cookie Shake,,39g,79g,13g,53g,1g,340mg,105mg,710,25g,1.5g
Strawberry Malt,,37g,98g,13g,75g,0g,290mg,105mg,770,25g,1.5g
Strawberry Shake,,36g,83g,12g,63g,0g,250mg,105mg,700,24g,1.5g
Vanilla Malt,,36g,100g,13g,76g,0g,290mg,105mg,770,25g,1.5g
Vanilla Shake,,35g,86g,12g,65g,0g,240mg,105mg,700,24g,1.5g
Charbroiled Chicken Salad (add dressing),,11g,27g,31g,10g,3g,770mg,75mg,320,3.5g,0g
Garden Side Salad (add dressing),,4.5g,14g,4g,3g,2g,230mg,5mg,110,1.5g,0g
CrissCut Fries,,29g,42g,5g,0g,4g,900mg,0mg,450,5g,0g
Fried Zucchini,,18g,36g,6g,7g,2g,610mg,0mg,330,3g,0g
"Natural-Cut Fries, Kids",,12g,31g,3g,0g,3g,480mg,0mg,240,2g,0g
"Natural-Cut Fries, Large",,22g,59g,5g,0g,6g,920mg,0mg,460,4g,0g
"Natural-Cut Fries, Medium",,21g,55g,5g,0g,5g,860mg,0mg,430,4g,0g
"Natural-Cut Fries, Small",,15g,39g,3g,0g,4g,600mg,0mg,300,2.5g,0g
Onion Rings,,28g,61g,8g,6g,3g,590mg,0mg,530,4.5g,0g
