Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Sour Cream Donut,,17g,47g,4g,26g,1g,330mg,10mg,350,7g,0g
Spider Donut,,19g,42g,4g,19g,1g,430mg,0mg,350,8g,0g
Strawberry Frosted Donut,,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Strawberry Frosted with Sprinkles Donut,,16g,35g,3g,15g,1g,340mg,0mg,290,7g,0g
Strawberry Long John,,17g,43g,5g,17g,1g,310mg,0mg,340,7g,0g
Sugared Donut,,14g,22g,3g,4g,1g,330mg,0mg,230,6g,0g
Sugared Stick,,25g,34g,4g,14g,1g,370mg,30mg,380,11g,0g
Taillight Donut,,18g,39g,3g,20g,1g,360mg,0mg,340,8g,0g
Toasted Coconut Donut,,23g,49g,4g,28g,2g,350mg,25mg,420,12g,0g
Vanilla Creme Donut,,20g,35g,3g,17g,1g,350mg,0mg,330,9g,0g
Vanilla Frosted Donut,,15g,32g,3g,14g,1g,340mg,0mg,280,7g,0g
Vanilla Headlight Donut,,18g,39g,3g,20g,1g,360mg,0mg,330,8g,0g
Vanilla Long John,,17g,43g,5g,17g,1g,310mg,0mg,340,7g,0g
"Caramel Swirl Frozen Chocolate, Large",,17g,182g,12g,170g,2g,340mg,30mg,920,12g,1g
"Caramel Swirl Frozen Chocolate, Medium",,13g,137g,9g,127g,1g,250mg,25mg,700,9g,1g
"Caramel Swirl Frozen Chocolate, Small",,10g,96g,6g,89g,1g,170mg,15mg,500,7g,1g
"French Vanilla Swirl Frozen Chocolate, Large",,17g,181g,11g,168g,1g,360mg,30mg,920,12g,1g
"French Vanilla Swirl Frozen Chocolate, Medium",,13g,136g,9g,126g,1g,270mg,25mg,700,9g,1g
"French Vanilla Swirl Frozen Chocolate, Small",,10g,95g,6g,88g,1g,190mg,15mg,500,7g,1g
"Frozen Chocolate, Large",,18g,183g,10g,166g,5g,330mg,25mg,930,13g,1g
"Frozen Chocolate, Medium",,14g,138g,8g,125g,3g,250mg,20mg,700,10g,1g
"Frozen Chocolate, Small",,11g,96g,6g,86g,2g,170mg,15mg,500,7g,1g
"Hazelnut Swirl Frozen Chocolate, Large",,17g,182g,11g,168g,1g,360mg,30mg,920,12g,1g
"Hazelnut Swirl Frozen Chocolate, Medium",,13g,137g,9g,126g,1g,270mg,25mg,700,9g,1g
"Hazelnut Swirl Frozen Chocolate, Small",,10g,96g,6g,88g,1g,190mg,15mg,500,7g,1g
"Maple Pecan Swirl Frozen Chocolate, Large",,17g,178g,11g,165g,1g,360mg,30mg,910,12g,1g
"Maple Pecan Swirl Frozen Chocolate, Medium",,13g,137g,9g,127g,1g,270mg,25mg,700,9g,1g
"Maple Pecan Swirl Frozen Chocolate, Small",,10g,96g,6g,89g,1g,190mg,15mg,500,7g,1g
"Pumpkin Swirl Frozen Chocolate, Large",,17g,175g,12g,163g,1g,420mg,25mg,900,12g,1g
"Pumpkin Swirl Frozen Chocolate, Medium",,13g,134g,9g,125g,1g,320mg,20mg,690,10g,1g
"Pumpkin Swirl Frozen Chocolate, Small",,10g,95g,6g,88g,1g,210mg,15mg,500,7g,1g
"Frozen Dunkaccino, Large",,21g,179g,11g,160g,4g,350mg,30mg,940,15g,1.5g
"Frozen Dunkaccino, Medium",,16g,135g,8g,121g,3g,260mg,20mg,720,12g,1g
"Frozen Dunkaccino, Small",,12g,94g,6g,84g,2g,180mg,15mg,510,9g,1g
"Frozen Vanilla Chai, Large",,14g,161g,9g,151g,0g,250mg,25mg,800,10g,0g
"Frozen Vanilla Chai, Medium",,10g,121g,7g,113g,0g,190mg,15mg,600,7g,0g
"Frozen Vanilla Chai, Small",,7g,80g,4g,76g,0g,125mg,10mg,400,5g,0g
"Dunkaccino, Extra Large",,23g,80g,4g,58g,1g,510mg,10mg,540,19g,0g
"Dunkaccino, Large",,21g,73g,4g,53g,1g,470mg,10mg,490,17g,0g
"Dunkaccino, Medium",,15g,52g,3g,38g,1g,340mg,5mg,350,12g,0g
"Mint Hot Chocolate, Extra Large",,16g,87g,3g,70g,3g,430mg,0mg,490,14g,0g
"Mint Hot Chocolate, Large",,13g,72g,3g,57g,3g,350mg,0mg,400,12g,0g
"Oreo Hot Chocolate, Large",,10g,88g,6g,70g,3g,500mg,0mg,460,8g,0g
"Oreo Hot Chocolate, Medium",,8g,66g,4g,53g,2g,380mg,0mg,350,6g,0g
"Oreo Hot Chocolate, Small",,5g,44g,3g,35g,1g,250mg,0mg,230,4g,0g
"Oreo Hot Chocolate, XLarge",,13g,110g,7g,88g,4g,630mg,0mg,580,10g,0g
"Original Hot Chocolate, Extra Large",,15g,89g,4g,71g,3g,480mg,0mg,500,14g,0g
"Original Hot Chocolate, Large",,14g,82g,4g,65g,3g,440mg,0mg,460,13g,0g
"Original Hot Chocolate, Medium",,10g,59g,3g,46g,2g,320mg,0mg,330,9g,0g
"Salted Caramel Hot Chocolate, Extra Large",,17g,87g,5g,69g,2g,750mg,0mg,510,15g,0g
"Salted Caramel Hot Chocolate, Large",,14g,71g,4g,57g,2g,620mg,0mg,420,13g,0g
"Salted Caramel Hot Chocolate, Medium",,10g,52g,3g,42g,1g,450mg,0mg,310,9g,0g
"Turbo Hot Chocolate, Large",,12g,71g,3g,55g,3g,380mg,0mg,400,11g,0g
"Vanilla Chai, Large",,12g,75g,14g,66g,0g,210mg,10mg,450,10g,0g
"Vanilla Chai, Medium",,9g,56g,10g,49g,0g,160mg,10mg,340,7g,0g
"Vanilla Chai, Small",,6g,37g,7g,33g,0g,105mg,5mg,230,5g,0g
Kolache,,18g,41g,20g,12g,1g,500mg,40mg,370,6g,0g
Kosher Belgian Waffle Breakfast Sandwich with Maple Sugar Bacon,,22g,43g,18g,14g,2g,1140mg,190mg,440,6g,0g
Kosher Big n' Toasted,,36g,44g,25g,3g,2g,1290mg,340mg,610,10g,0g
Kosher Dunkin' Double Veggie Sausage Sandwich,,18g,74g,37g,7g,6g,1460mg,180mg,600,6g,0g
