Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
"Bacon Turkey Bravo Sandwich on Tomato Basil, Whole",,24g,57g,46g,6g,3g,1540mg,100mg,630,9g,0g
"Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Half",,21g,28g,21g,2g,3g,870mg,70mg,380,7g,0g
"Chipotle Chicken Avocado Melt on Black Pepper Focaccia, Whole",,42g,56g,43g,4g,6g,1730mg,140mg,770,14g,0g
"Four Cheese Grilled Cheese on Country Rustic, Half",,14g,30g,16g,0g,1g,580mg,50mg,310,9g,0g
"Four Cheese Grilled Cheese on Country Rustic, Whole",,28g,60g,31g,1g,3g,1170mg,95mg,630,18g,0.5g
"Frontega Chicken Panini on Sea Salt Focaccia, Half",,15g,42g,23g,2g,2g,1020mg,55mg,390,4.5g,0g
"Frontega Chicken Panini on Sea Salt Focaccia, Whole",,29g,84g,46g,4g,4g,2040mg,110mg,790,9g,0g
"Heritage Ham & Swiss Sandwich on Country Rustic, Half",,13g,25g,21g,3g,1g,740mg,50mg,300,5g,0g
"Heritage Ham & Swiss Sandwich on Whole Grain, Whole",,26g,50g,41g,6g,3g,1480mg,100mg,600,11g,0g
"Mediterranean Veggie Sandwich on Tomato Basil, Half",,6g,33g,9g,4g,3g,620mg,5mg,220,1.5g,0g
"Mediterranean Veggie Sandwich on Tomato Basil, Whole",,13g,67g,18g,8g,6g,1230mg,10mg,440,3g,0g
"Napa Almond Chicken Salad Sandwich on Country Rustic, Half",,16g,30g,14g,6g,2g,340mg,35mg,310,2.5g,0g
"Napa Almond Chicken Salad Sandwich on Country Rustic, Whole",,32g,60g,28g,12g,5g,680mg,70mg,630,4.5g,0g
"Roasted Turkey & Avocado BLT on Country Rustic, Half",,17g,26g,21g,2g,3g,590mg,40mg,340,3.5g,0g
"Roasted Turkey & Avocado BLT on Country Rustic, Whole",,35g,52g,41g,4g,6g,1180mg,80mg,690,7g,0g
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Half",,16g,31g,23g,7g,3g,640mg,50mg,360,6g,0g
"Roasted Turkey, Apple & Cheddar on Cranberry Walnut Miche, Whole",,32g,62g,47g,15g,6g,1280mg,100mg,710,12g,1g
"Steak & Arugula on Sourdough, Half",,9g,25g,16g,4g,2g,430mg,45mg,250,4g,0g
"Steak & Arugula on Sourdough, Whole",,19g,50g,32g,8g,4g,870mg,90mg,500,8g,0g
"Steak & White Cheddar Panini on Artisan Ciabatta, Half",184g,20g,43g,24g,3g,2g,700mg,60mg,460,8g,0.5g
"Steak & White Cheddar Panini on Artisan Ciabatta, Whole",,41g,86g,48g,6g,5g,1390mg,125mg,910,16g,1g
"The Italian on Artisan Ciabatta, Half",,21g,41g,20g,1g,2g,1150mg,45mg,440,7g,0g
"The Italian on Artisan Ciabatta, Whole",,42g,82g,41g,2g,4g,2310mg,95mg,870,13g,0g
"Tuna Salad Sandwich on Black Pepper Focaccia, Half",,17g,29g,14g,2g,2g,680mg,20mg,330,2.5g,0g
"Tuna Salad Sandwich on Black Pepper Focaccia, Whole",,35g,58g,28g,5g,4g,1350mg,45mg,660,5g,0g
"Turkey Sandwich on Whole Grain, Half",,8g,32g,18g,4g,5g,590mg,25mg,270,1.5g,0g
"Turkey Sandwich on Whole Grain, Whole",,17g,65g,37g,7g,9g,1180mg,55mg,540,3g,0g
"BBQ Chicken Flatbread, 1 Flatbread",,18g,37g,24g,7g,3g,860mg,75mg,400,10g,0g
"BBQ Chicken Flatbread, 2 Flatbreads",,36g,75g,48g,14g,7g,1720mg,155mg,810,20g,1g
"Asian Sesame Salad with Chicken, Half",,11g,13g,16g,3g,2g,270mg,40mg,200,1.5g,0g
"Asian Sesame Salad with Chicken, Whole",353g,21g,25g,32g,5g,4g,540mg,80mg,410,3g,0g
"Caesar Salad, Half",,13g,7g,5g,1g,1g,300mg,20mg,160,3g,0g
"Caesar Salad, Whole",249g,25g,14g,10g,2g,2g,600mg,40mg,320,6g,0g
"Caesar Salad with Chicken, Half",,14g,8g,17g,1g,1g,390mg,60mg,220,3.5g,0g
"Caesar Salad with Chicken, Whole",,27g,17g,35g,2g,2g,770mg,120mg,450,7g,0g
"Fuji Apple Salad with Chicken, Half",,17g,18g,17g,10g,3g,290mg,45mg,280,3.5g,0g
"Fuji Apple Salad with Chicken, Whole",,35g,36g,33g,20g,6g,590mg,95mg,570,7g,0g
"Greek Salad, Half",,18g,5g,4g,2g,2g,590mg,10mg,200,4g,0g
"Greek Salad, Whole",,36g,11g,6g,4g,4g,1190mg,25mg,390,8g,0g
"Green Goddess Cobb Salad with Chicken, Half",,17g,12g,21g,6g,4g,360mg,145mg,280,4g,0g
"Green Goddess Cobb Salad with Chicken, Whole",,33g,24g,42g,12g,7g,720mg,290mg,550,8g,0g
