Item,Serving Size,Total Fat,Carbohydrates,Protein,Sugar,Fiber,Sodium,Cholesterol,Calories,Saturated Fat,Trans Fat
Fully Loaded Biscuit,238g,45g,31g,28g,4g,1g,2190mg,225mg,640,20g,0g
Fully Loaded Croissan'wich,218g,40g,31g,28g,5g,1g,1680mg,225mg,610,17g,0.5g
"Ham, Egg, & Cheese Biscuit",176g,24g,29g,17g,3g,1g,1550mg,175mg,400,12g,0g
"Hash Browns, Large",225g,44g,65g,5g,0g,9g,1530mg,0mg,670,9g,0g
"Hash Browns, Medium",169g,33g,48g,4g,0g,7g,1140mg,0mg,500,7g,0g
King Croissan'wich with Double Sausage,224g,52g,31g,29g,5g,1g,1420mg,240mg,710,20g,0.5g
King Croissan'wich with Ham And Sausage,211g,38g,31g,27g,5g,1g,1530mg,220mg,580,16g,0.5g
King Croissan'wich with Sausage And Bacon,187g,40g,31g,23g,5g,1g,1260mg,215mg,580,16g,0.5g
NY Ultimate Platter,400g,46g,95g,25g,31g,5g,1760mg,380mg,900,12g,0g
Pancake and Sausage Platter,217g,31g,72g,12g,30g,1g,1010mg,80mg,610,9g,0g
Quaker Oatmeal Maple Flavor,172g,3g,32g,4g,12g,3g,270mg,5mg,170,1.5g,0g
"Sausage, Egg, & Cheese Biscuit",189g,38g,29g,19g,3g,1g,1440mg,195mg,530,17g,0g
"Sausage, Egg, Cheese & Hash Brown Burrito",143g,23g,27g,15g,2g,3g,930mg,150mg,370,8g,0g
Sausage Biscuit,121g,28g,28g,12g,2g,1g,1050mg,35mg,420,6g,0g
Caramel Sundae,153g,6g,53g,6g,39g,0g,260mg,25mg,290,4g,0g
Chocolate Chip Cookies,76g,15g,47g,3g,29g,1g,250mg,20mg,330,8g,0g
Dutch Apple Pie,107g,14g,51g,3g,25g,1g,310mg,0mg,340,6g,0g
Hershey's Chocolate Sundae,153g,7g,47g,6g,41g,1g,220mg,20mg,280,5g,0g
